Aug 29, 2024 - 09:30:56 || INFO || Client disconnected:  PBGEF1mMUkDKPqbeAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:30:56 || INFO || New Client Connected to This id : iHS1sD96N7lN7nKtAAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:30:58 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:30:58 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:30:58 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:31:15 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:31:15 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:31:15 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:31:25 || INFO || Client disconnected:  iHS1sD96N7lN7nKtAAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:31:38 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:31:38 || INFO || New Client Connected to This id : 8WjnjFyZGaTa5YLnAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:31:41 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:31:41 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:31:41 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:33:27 || INFO || Client disconnected:  8WjnjFyZGaTa5YLnAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:33:33 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:33:35 || INFO || New Client Connected to This id : a4MkqmcPwOEJsis1AAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:33:38 || INFO || Client disconnected:  a4MkqmcPwOEJsis1AAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:33:38 || INFO || New Client Connected to This id : KoAPlrlYf_94oeOXAAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:33:40 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:33:40 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:33:40 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:40:27 || INFO || Client disconnected:  KoAPlrlYf_94oeOXAAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:40:27 || INFO || New Client Connected to This id : SK7v4gE3HRWX-MAsAAAF || fastapiweb.py ||71
Aug 29, 2024 - 09:40:28 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:40:28 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:40:28 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:40:33 || INFO || Client disconnected:  SK7v4gE3HRWX-MAsAAAF || fastapiweb.py ||79
Aug 29, 2024 - 09:40:39 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:40:39 || INFO || New Client Connected to This id : g7P3e0knxi_IPefpAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:40:40 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:40:40 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:40:40 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:51:25 || INFO || Client disconnected:  g7P3e0knxi_IPefpAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:51:32 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:51:32 || INFO || New Client Connected to This id : yd97nUiYLCcfcn7rAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:51:34 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:51:34 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:51:34 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:51:36 || INFO || New Client Connected to This id : EOgrkK6oE6idqOFHAAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:51:42 || INFO || Client disconnected:  EOgrkK6oE6idqOFHAAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:51:42 || INFO || Client disconnected:  yd97nUiYLCcfcn7rAAAB || fastapiweb.py ||79
